Denumire,Timp,Info,Latitude,Longitude,Status,Tip vehicul,Sens
Albița,10,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,46.78513359,28.138904570000022,green,Autoturisme,Ieșire
Albița,30,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,46.78513359,28.138904570000022,orange,Autoturisme,Intrare
Albița,70,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,46.78513359,28.138904570000022,red,Camioane,Ieșire
Albița,60,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,46.78513359,28.138904570000022,red,Camioane,Intrare
Bumbăta,10,Program functionare PTF 00.00-24.00.,46.48343071528536,28.230584720334427,green,Autoturisme,Ieșire
Bumbăta,10,Program functionare PTF 00.00-24.00.,46.48343071528536,28.230584720334427,green,Autoturisme,Intrare
Foeni,10,,45.474014530182124,20.851687687642386,green,Autoturisme,Ieșire
Foeni,10,,45.474014530182124,20.851687687642386,green,Autoturisme,Intrare
Galați,10,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,45.46825360262536,28.188611261901883,green,Autoturisme,Ieșire
Galați,10,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,45.46825360262536,28.188611261901883,green,Autoturisme,Intrare
Galați,10,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,45.46825360262536,28.188611261901883,green,Camioane,Ieșire
Galați,20,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,45.46825360262536,28.188611261901883,green,Camioane,Intrare
Halmeu,20,Intrare: 1 artera; Iesire: 1 artera.,47.99218343807866,23.003118041472135,green,Autoturisme,Ieșire
Halmeu,20,Intrare: 1 artera; Iesire: 1 artera.,47.99218343807866,23.003118041472135,green,Autoturisme,Intrare
Halmeu,30,Intrare: 1 artera; Iesire 1 artera.,47.99218343807866,23.003118041472135,orange,Camioane,Ieșire
Halmeu,30,Intrare: 1 artera; Iesire 1 artera.,47.99218343807866,23.003118041472135,orange,Camioane,Intrare
Isaccea,10,Intrare: 1 arteră; Iesire: 1 artera,45.2838718,28.453399,green,Autoturisme,Ieșire
Isaccea,10,Intrare: 1 arteră; Iesire: 1 artera,45.2838718,28.453399,green,Autoturisme,Intrare
Isaccea,60,"Intrare 1 artera, iesire 1 artera - Trafic intens - numar foarte mare de mijloace de transport prezente la controlul de frontiera.",45.2838718,28.453399,red,Camioane,Ieșire
Isaccea,60,"Intrare 1 artera, iesire 1 artera - Trafic intens - numar foarte mare de mijloace de transport prezente la controlul de frontiera.",45.2838718,28.453399,red,Camioane,Intrare
Jimbolia,10,,45.75220459046048,20.70119261476202,green,Autoturisme,Ieșire
Jimbolia,10,,45.75220459046048,20.70119261476202,green,Autoturisme,Intrare
Jimbolia,10,,45.75220459046048,20.70119261476202,green,Camioane,Ieșire
Jimbolia,10,,45.75220459046048,20.70119261476202,green,Camioane,Intrare
Lunga,10,,45.87915570599967,20.5779074132906,green,Autoturisme,Ieșire
Lunga,10,,45.87915570599967,20.5779074132906,green,Autoturisme,Intrare
Moldova Nouă,10,,44.708744246737496,21.647974408926814,green,Autoturisme,Ieșire
Moldova Nouă,10,,44.708744246737496,21.647974408926814,green,Autoturisme,Intrare
Moravița,10,,45.23273831114173,21.271795037033144,green,Autoturisme,Ieșire
Moravița,10,,45.23273831114173,21.271795037033144,green,Autoturisme,Intrare
Moravița,10,,45.23273831114173,21.271795037033144,green,Camioane,Ieșire
Moravița,10,,45.23273831114173,21.271795037033144,green,Camioane,Intrare
Naidăș,10,,44.90138869420463,21.562149521188644,green,Autoturisme,Ieșire
Naidăș,10,,44.90138869420463,21.562149521188644,green,Autoturisme,Intrare
Naidăș,10,,44.90138869420463,21.562149521188644,green,Camioane,Ieșire
Naidăș,10,,44.90138869420463,21.562149521188644,green,Camioane,Intrare
Oancea,10,,45.91761677,28.11879872999998,green,Autoturisme,Ieșire
Oancea,10,,45.91761677,28.11879872999998,green,Autoturisme,Intrare
Oancea,20,,45.91761677,28.11879872999998,green,Camioane,Ieșire
Oancea,20,,45.91761677,28.11879872999998,green,Camioane,Intrare
Porțile de Fier I,10,,44.67547766480826,22.53279268346705,green,Autoturisme,Ieșire
Porțile de Fier I,10,,44.67547766480826,22.53279268346705,green,Autoturisme,Intrare
Porțile de Fier I,10,,44.67547766480826,22.53279268346705,green,Camioane,Ieșire
Porțile de Fier I,10,,44.67547766480826,22.53279268346705,green,Camioane,Intrare
Porțile de Fier II,10,,44.309086364909426,22.569930550429717,green,Autoturisme,Ieșire
Porțile de Fier II,10,,44.309086364909426,22.569930550429717,green,Autoturisme,Intrare
Racovăț,10,,48.099012,26.281062,green,Autoturisme,Ieșire
Racovăț,10,,48.099012,26.281062,green,Autoturisme,Intrare
Rădăuți Prut,10,,48.252499210733916,26.803089363021854,green,Autoturisme,Ieșire
Rădăuți Prut,10,,48.252499210733916,26.803089363021854,green,Autoturisme,Intrare
Sculeni,10,,47.31616400549972,27.610375267906193,green,Autoturisme,Ieșire
Sculeni,20,,47.31616400549972,27.610375267906193,green,Autoturisme,Intrare
Sculeni,90,,47.31616400549972,27.610375267906193,red,Camioane,Ieșire
Sculeni,30,,47.31616400549972,27.610375267906193,orange,Camioane,Intrare
Sighetu Marmației,10,"TRAFIC AUTO RESTRICȚIONAT ÎN PERIOADA 15.09.-24.10.2025., de luni-vineri între orele 09.00-15.30, în vederea executării unor reparații",47.938771834787026,23.87753517983174,green,Autoturisme,Ieșire
Sighetu Marmației,10,"TRAFIC AUTO RESTRICȚIONAT ÎN PERIOADA 15.09.-24.10.2025., de luni-vineri între orele 09.00-15.30, în vederea executării unor reparații",47.938771834787026,23.87753517983174,green,Autoturisme,Intrare
Siret,20,Intrare: 3 artere; Iesire: 3 artere.,47.98636006999999,26.062595845606666,green,Autoturisme,Ieșire
Siret,20,Intrare: 3 artere; Iesire: 3 artere.,47.98636006999999,26.062595845606666,green,Autoturisme,Intrare
Siret,20,Intrare: 1 artera; Ieșire 2 artere.,47.98636006999999,26.062595845606666,green,Camioane,Ieșire
Siret,20,Intrare: 1 artera; Ieșire 2 artere.,47.98636006999999,26.062595845606666,green,Camioane,Intrare
Stînca,10,,47.833497321297024,27.22010850534423,green,Autoturisme,Ieșire
Stînca,10,,47.833497321297024,27.22010850534423,green,Autoturisme,Intrare
Stînca,10,,47.833497321297024,27.22010850534423,green,Camioane,Ieșire
Stînca,10,,47.833497321297024,27.22010850534423,green,Camioane,Intrare
Valcani,10,,45.992469691259394,20.361915707284922,green,Autoturisme,Ieșire
Valcani,10,,45.992469691259394,20.361915707284922,green,Autoturisme,Intrare
Vicovu de Sus,10,Intrare: 2 artere; Iesire 1 artera.,47.946829,25.62072,green,Autoturisme,Ieșire
Vicovu de Sus,10,Intrare: 2 artere; Iesire 1 artera.,47.946829,25.62072,green,Autoturisme,Intrare
